C_S,L_R,A_I,N_R,N_S,D_R,C_R,M_U,main
0,30063.393,119.762001,0,1,1,1.756000042,0,0
1,19273.444,163.7899933,2,44,16,1.518000007,226512.792,1
0,25602.49,86.59089661,0,1,1,1.625,0,0
0,49370.544,135.6900024,0,1,1,1.873999953,0,0
1,2937.691,138.9790039,2,33,15,1.031999946,223575.101,1
0,46350.425,146.0690002,0,1,1,1.603000045,0,0
1,22676.826,176.720993,2,3,3,1.383999944,21583.277,1
1,18613.519,165.9279938,2,22,18,1.312999964,170957.953,1
0,15571.765,151.5319977,0,1,1,1.498000026,0,0
1,3178.611,121.4209976,2,21,17,1.437999964,167779.342,1
0,39126.954,143.128006,0,1,1,1.570000052,0,0
1,11379.349,170.9219971,2,2,2,1.427999973,6403.872,1
0,5032.733,119.9229965,0,1,1,1.251999974,0,0
0,16174.679,164.673996,0,1,1,1.50999999,0,0
1,2960.83,170.9880066,0,1,1,1.103999972,0,1
0,12418.551,115.5419998,0,1,1,1.207999945,0,0
0,50714.589,122.0240021,2,11,8,1.263000011,133766.205,0
0,8291.866,96.66390228,2,2,2,1.161000013,16174.679,0
0,21583.277,118.7030029,0,1,1,1.776000023,0,0
0,23113.812,113.1269989,0,1,1,1.363999963,0,0
0,5584.503,91.96980286,0,1,1,1.217000008,0,0
1,6403.872,165.8049927,0,1,1,1.279000044,0,1
1,24603.488,169.0240021,2,32,14,1.475000024,198971.613,1
0,25347.899,59.5625,0,1,1,1.508000016,0,0
1,3538.223,177.6730042,2,21,13,1.190000057,149578.943,1
1,17472.058,169.5240021,0,1,1,1.495000005,0,1
1,7646.554,127.7300034,2,19,15,1.263000011,144693.503,1
0,8259.114,176.2369995,0,1,1,1.827000022,0,0
1,12116.354,112.6569977,0,1,1,1.447999954,0,1
0,12618.758,140.1880035,0,1,1,1.30400002,0,0
0,4736.06,122.1740036,2,2,2,1.258000016,17472.058,0
1,13634.541,124.5859985,2,20,12,1.442999959,135944.402,1
0,7675.013,164.8999939,0,1,1,1.194000006,0,0
1,11640.455,117.0230026,2,18,14,1.307999969,133053.048,1
0,17262.668,99.9414978,2,2,2,1.161999941,12116.354,0
1,1083.249,179.6080017,2,17,13,1,131969.799,1
1,4087.892,162.2160034,2,15,12,1.131000042,127881.907,1
1,12075.953,0,2,18,11,1.416000009,123868.449,1
1,26605.06,173.4859924,2,9,7,1.534999967,107161.145,1
0,26690.165,131.4660034,0,1,1,1.519999981,0,0
1,1601.89,175.6620026,2,14,11,1.011999965,126280.017,1
1,2224.961,45.05149841,2,8,6,1.065999985,104936.184,1
0,26378.103,145.7920074,0,1,1,1.600000024,0,0
0,36417.273,103.1600037,2,3,3,1.983999968,87451.176,0
0,52787.547,80.32330322,0,1,1,1.411000013,0,0
0,17994.105,156.9759979,0,1,1,1.291000009,0,0
0,13534.325,107.9889984,0,1,1,1.179999948,0,0
1,17075.936,164.1490021,2,15,10,1.284999967,106090.703,1
1,67977.89,154.1569977,0,1,1,1.985999942,0,1
0,51216.071,86.18049622,2,11,8,1.429999948,147755.542,0
0,15764,91.11710358,0,1,1,1.373999953,0,0
1,27161.675,160.5789948,2,13,10,1.325000048,99118.342,1
1,8438.889,176.0970001,2,14,9,1.417999983,97651.814,1
1,25177.021,126.435997,2,7,5,1.458999991,79759.163,1
0,24298.012,99.3884964,0,1,1,1.277999997,0,0
1,5855.698,119.862999,2,5,4,1.116000056,73903.465,1
0,9948.01,126.3990021,0,1,1,1.309999943,0,0
0,10154.764,120.6729965,0,1,1,1.465999961,0,0
1,3257.007,164,2,13,8,1.194000006,94394.807,1
1,68162.877,160.6159973,2,2,2,1.860999942,19288.299,1
1,8526.426,175.2559967,2,11,9,1.18900001,90591.916,1
0,9699.058,102.0650024,2,2,2,1.197999954,15547.195,0
0,22614.026,89.06939697,2,2,2,1.350000024,67977.89,0
0,14788.854,141.7720032,0,1,1,1.559999943,0,0
1,1778.801,179.9060059,2,9,8,1.148000002,66164.992,1
0,9505.502,159.4980011,2,2,2,1.787999988,16339.52,0
0,23955.276,76.82219696,0,1,1,1.817000031,0,0
1,1517.662,105.3649979,2,8,7,1.016000032,64647.33,1
1,2193.056,129.8350067,2,7,6,1.044999957,62454.274,1
1,15640.236,156.5549927,2,10,7,1.345000029,132115.306,1
0,8945.19,99.77030182,0,1,1,1.643000007,0,0
1,14952.463,144.8399963,2,4,3,1.324000001,58951.002,1
0,11654.862,153.8009949,0,1,1,1.258000016,0,0
1,16339.52,136.6690063,0,1,1,1.631999969,0,1
1,15547.195,176.3939972,0,1,1,1.386000037,0,1
1,3775.55,159.9620056,2,6,5,1.093000054,58678.724,1
0,21886.221,157.0509949,0,1,1,1.483999968,0,0
0,11679.493,175.852005,0,1,1,1.539000034,0,0
1,5589.379,179.4559937,2,2,2,1.192000031,53361.623,1
1,24414.402,136.9340057,2,12,7,1.559999943,69980.405,1
0,30696.2,143.5359955,0,1,1,1.893000007,0,0
1,19288.299,155.1970062,0,1,1,1.414999962,0,1
0,8005.14,105.9339981,0,1,1,1.463999987,0,0
0,5133.971,163.4340057,0,1,1,1.315999985,0,0
0,18511.066,141.5119934,0,1,1,1.659999967,0,0
1,8008.848,166.8399963,2,9,6,1.379999995,124106.458,1
0,8138.402,137.0440063,2,5,5,1.899999976,52301.83,0
1,5488.263,146.3589935,2,3,3,1.085999966,40744.809,1
1,6068.758,170.5679932,2,4,4,1.14199996,46233.072,1
1,6870.26,147.6929932,2,5,4,1.126999974,51808.464,1
0,18690.622,97.48480225,0,1,1,1.277999997,0,0
0,12612.715,154.2359924,0,1,1,1.42900002,0,0
1,3869.784,106.7320023,2,2,2,1.146999955,36875.025,1
0,9550.055,131.5809937,2,3,3,1.324000001,42258.409,0
1,2033.097,150.901001,2,2,2,1.190999985,10024.453,1
1,4701.343,129.3630066,2,7,6,1.072999954,65279.062,1
1,1049.585,126.9440002,2,6,5,1.041000009,64229.477,1
0,13648.335,177.2910004,0,1,1,1.506999969,0,0
0,18701.068,158.7969971,2,2,2,1.424000025,13648.335,0
0,19388.55,134.0549927,0,1,1,1.707000017,0,0
0,13384.999,161.0370026,2,2,2,1.909000039,5269.762,0
0,14137.822,179.602005,0,1,1,1.485999942,0,0
0,4438.308,136.5249939,0,1,1,1.078999996,0,0
0,13331.82,127.2850037,0,1,1,1.590000033,0,0
1,12163.008,135.298996,0,1,1,1.725999951,0,1
0,9959.729,147.8249969,0,1,1,1.373999953,0,0
1,5269.762,126.2580032,0,1,1,1.282999992,0,1
1,53361.623,150.5690002,0,1,1,1.791000009,0,1
1,10024.453,167.2920074,0,1,1,1.243999958,0,1
0,15457.683,175.9909973,0,1,1,1.605999947,0,0
1,33368.617,128.9779968,2,7,5,2.098999977,90737.841,1
0,25850.724,117.8069992,2,2,2,1.38499999,7081.256,0
0,18572.794,135.1080017,0,1,1,1.669999957,0,0
1,11153.051,139.3059998,2,4,4,1.103999972,53076.426,1
1,10371.071,105.2030029,0,1,1,1.355000019,0,1
1,25276.239,134.8589935,2,2,2,1.600000024,16982.17,1
0,4652.559,148.6640015,0,1,1,1.116000056,0,0
0,9246.492,95.66819763,2,3,3,1.396999955,33893.613,0
1,7081.256,134.7510071,0,1,1,1.172999978,0,1
1,36875.025,179.5780029,0,1,1,1.886999965,0,1
0,13800.491,97.52030182,2,2,2,1.203999996,38533.575,0
0,21594.591,112.0270004,0,1,1,1.332000017,0,0
1,10768.375,150.7339935,2,5,4,1.11500001,79969.466,1
0,12285.066,123.6190033,2,2,2,1.523000002,16244.616,0
0,14732.932,138.6459961,2,2,2,1.424999952,60390.618,0
1,33893.613,175.2510071,0,1,1,1.601999998,0,1
1,10794.018,152.1179962,2,3,3,1.276000023,69175.448,1
1,11432.86,166.0299988,0,1,1,1.317999959,0,1
0,16244.616,144.6000061,0,1,1,1.35800004,0,0
0,7796.987,178.0209961,0,1,1,1.220000029,0,0
0,15874.321,150.246994,0,1,1,1.378000021,0,0
1,38533.575,179.5859985,0,1,1,1.516000032,0,1
1,53076.426,177.4609985,0,1,1,1.748000026,0,1
1,24851.27,152.5429993,2,2,2,1.914000034,44324.178,1
0,17467.027,113.7819977,0,1,1,1.453999996,0,0
1,44324.178,170.246994,0,1,1,1.667999983,0,1
1,14944.553,151.6970062,2,6,5,1.429999948,43889.752,1
0,6035.72,150.9949951,2,4,4,1.430999994,37854.032,1
0,14771.106,57.44120026,2,2,2,1.822000027,7591.991,0
0,14603.278,108.3300018,2,3,3,1.682000041,49020.401,0
1,22088.225,169.2180023,2,2,2,2.020999908,26932.176,1
0,12929.13,102.2659988,0,1,1,1.585000038,0,0
1,35231.583,80.51239777,2,21,11,1.554999948,144956.643,1
0,17615.914,98.99389648,0,1,1,1.940999985,0,0
0,15988.415,79.90149689,2,4,4,1.399999976,41746.744,0
1,12457.964,165.0359955,2,20,10,1.251000047,132498.679,1
1,19481.94,144.7409973,2,16,9,1.325000048,113016.739,1
1,25607.156,170.2700043,2,40,22,1.41900003,277327.829,1
1,15649.167,52.72570038,2,163,29,1.827000022,402697.913,1
0,39119.265,128.2779999,2,24,12,1.575000048,145275.526,1
1,30249.988,174.8190002,2,10,6,1.871000051,58834.305,1
0,22577.456,81.95079803,0,1,1,1.47300005,0,0
1,17276.114,162.1629944,0,1,1,1.968999982,0,1
1,60390.618,157.9320068,0,1,1,2.427999973,0,1
0,24618.5,126.7269974,0,1,1,1.725999951,0,0
1,15439.285,125.0780029,2,20,16,1.47300005,152340.057,1
0,28233.853,111.8259964,0,1,1,1.532999992,0,0
0,26512.709,122.8479996,0,1,1,1.578999996,0,0
0,42409.347,89.39600372,0,1,1,1.603999972,0,0
0,29489.856,146.0299988,2,2,2,1.922999978,2645.925,0
1,22247.96,176.0180054,0,1,1,1.786999941,0,1
0,16982.17,149.6699982,0,1,1,1.440999985,0,0
