FID,OBJECTID,fclass,name,主支流,语义一,上游河,Length,ID,起点X,起点y,终点x,终点y,下游起点X,下游起点Y,下游终点Y,下游终点X
250,251,3,崇阳溪1,-1.000000000000000,0.000000000000000,0.000000000000000,23113.812000000002000,250.000000000000000,118.3960037,27.1809998,118.3000031,27.0515995,118.3000031,27.0515995,27.0298004,118.3160019
251,252,3,富屯溪8,-1.000000000000000,1.000000000000000,0.000000000000000,5584.502999999999700,251.000000000000000,117.5479965,27.1704998,117.5889969,27.1889992,117.5889969,27.1889992,27.1040993,117.6409988
252,253,4,金溪10,1.000000000000000,1.000000000000000,0.000000000000000,6403.872000000000300,252.000000000000000,117.3069992,27.1903000,117.3040009,27.1434994,117.3040009,27.1434994,27.0723991,117.2789993
253,254,2,建溪,1.000000000000000,1.000000000000000,2.000000000000000,24603.488000000001000,253.000000000000000,118.2340012,27.1952000,118.3000031,27.0515995,118.3000031,27.0515995,27.0298004,118.3160019
254,255,3,崇阳溪3,-1.000000000000000,0.000000000000000,0.000000000000000,25347.899000000001000,254.000000000000000,118.0660019,27.1350994,118.2089996,27.2091007,118.2089996,27.2091007,27.2495995,118.1289978
255,256,2,建溪,1.000000000000000,1.000000000000000,2.000000000000000,3538.223000000000000,255.000000000000000,118.2340012,27.1952000,118.2089996,27.2091007,118.2089996,27.2091007,27.2495995,118.1289978
256,257,3,崇阳溪4,1.000000000000000,1.000000000000000,0.000000000000000,17472.058000000001000,256.000000000000000,117.9970016,27.1830997,118.0989990,27.2292004,118.0989990,27.2292004,27.2495995,118.1289978
257,258,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,7646.554000000000100,257.000000000000000,117.6139984,27.2402992,117.5889969,27.1889992,117.5889969,27.1889992,27.1040993,117.6409988
258,259,4,富屯溪10,-1.000000000000000,0.000000000000000,0.000000000000000,8259.113999999999600,258.000000000000000,117.3799973,27.2297001,117.4199982,27.2467003,117.4199982,27.2467003,27.3110008,117.5490036
259,260,3,富屯溪9,1.000000000000000,1.000000000000000,0.000000000000000,12116.353999999999000,259.000000000000000,117.4300003,27.1685009,117.4199982,27.2467003,117.4199982,27.2467003,27.3110008,117.5490036
260,261,4,崇阳溪5,-1.000000000000000,0.000000000000000,0.000000000000000,12618.758000000000000,260.000000000000000,118.0049973,27.2329006,118.0989990,27.2292004,118.0989990,27.2292004,27.2495995,118.1289978
261,262,3,崇阳溪4,-1.000000000000000,1.000000000000000,2.000000000000000,4736.060000000000400,261.000000000000000,118.0989990,27.2292004,118.1289978,27.2495995,118.1289978,27.2495995,27.3299007,118.1210022
262,263,2,建溪,1.000000000000000,1.000000000000000,2.000000000000000,13634.540999999999000,262.000000000000000,118.2089996,27.2091007,118.1289978,27.2495995,118.1289978,27.2495995,27.3299007,118.1210022
